Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Magog, v;8;;100;378;23;70;2;16;3;19;30;163;2
120;Orford;2022-10-03;G;Magog, v;8;;101;378;24;49;2;16;2;17;31;141;1
120;Orford;2022-10-03;G;Magog, v;8;;102;372;15;48;2;5;0;19;19;108;3
120;Orford;2022-10-03;G;Magog, v;8;;103;367;17;60;0;15;1;21;35;149;1
120;Orford;2022-10-03;G;Magog, v;8;;104;378;16;68;1;19;0;14;46;164;1
120;Orford;2022-10-03;G;Magog, v;8;;105;384;15;88;0;14;0;18;46;181;4
120;Orford;2022-10-03;G;Magog, v;8;;106;380;31;55;0;14;0;25;35;160;2
120;Orford;2022-10-03;G;Magog, v;8;;107;386;22;76;2;14;0;16;40;170;1
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;108;359;29;55;2;22;1;11;31;151;0
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;109;365;26;44;2;25;1;18;29;145;2
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;110;375;24;88;2;11;0;29;33;187;1
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;111;366;12;66;1;18;1;37;30;165;3
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;112;368;24;55;1;32;1;19;41;173;4
120;Orford;2022-10-03;G;Sainte-Catherine-de-Hatley, m;1;;113;374;28;54;3;21;4;41;24;175;4
