Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;151B;196;1;16;3;10;8;0;38;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;152;365;3;35;14;24;31;4;111;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;153;394;4;67;15;33;25;5;149;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;154;384;3;36;15;29;38;3;124;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;155;380;0;49;16;32;26;7;130;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;156;371;3;55;14;15;24;2;113;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;157;417;5;56;18;30;15;7;131;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;158;419;0;50;27;26;24;5;132;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;159A;284;0;51;3;11;9;9;83;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;159B;282;3;40;7;23;19;5;97;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;160;399;2;74;18;25;30;11;160;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;161;421;1;77;17;29;26;3;153;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;162;397;1;61;15;29;33;2;141;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;163;423;3;91;26;30;31;4;185;6
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;23;;164;406;3;73;10;43;28;8;165;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;10;Regr. BVO-68;500;357;0;0;0;0;0;0;0;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;15;Regr. BVO-102;501;159;0;0;0;0;0;0;0;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;16;Regr. BVO-105;502;131;0;0;0;0;0;0;0;0
