Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Édouard-de-Lotbinière, p;1;;139;301;19;50;9;70;10;158;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Édouard-de-Lotbinière, p;1;;140;313;17;66;5;73;10;171;4
810;Lotbinière-Frontenac;2022-10-03;G;Notre-Dame-du-Sacré-Coeur-d'Issoudun, p;1;;141;324;5;86;17;74;14;196;2
810;Lotbinière-Frontenac;2022-10-03;G;Notre-Dame-du-Sacré-Coeur-d'Issoudun, p;1;;142;323;14;83;12;7;13;129;3
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;143A;229;7;64;5;35;15;126;2
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;143B;230;4;45;12;47;7;115;1
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;144;385;16;61;12;106;25;220;2
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;145;405;18;63;16;95;25;217;4
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;146;400;11;74;12;79;11;187;7
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;147A;216;10;36;8;41;9;104;3
810;Lotbinière-Frontenac;2022-10-03;G;Laurier-Station, vl;1;;147B;225;3;54;8;57;5;127;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Janvier-de-Joly, m;1;;148;292;9;66;9;55;3;142;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Janvier-de-Joly, m;1;;149;303;8;80;9;63;16;176;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Janvier-de-Joly, m;1;;150;290;13;55;7;68;12;155;3
810;Lotbinière-Frontenac;2022-10-03;G;Val-Alain, m;1;;151;392;20;103;19;100;13;255;8
810;Lotbinière-Frontenac;2022-10-03;G;Val-Alain, m;1;;152;390;15;113;19;61;22;230;1
810;Lotbinière-Frontenac;2022-10-03;G;Leclercville, m;1;;153;385;28;66;22;119;36;271;1
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;1;Regr. BVO-1;500;35;0;0;0;0;0;0;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;2;Regr. BVO-5;501;50;0;0;0;0;0;0;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;4;Regr. BVO-17;502;66;0;0;0;0;0;0;0
810;Lotbinière-Frontenac;2022-10-03;G;Thetford Mines, v;6;Regr. BVO-23;503;36;0;0;0;0;0;0;0
